,SId,PolicyActivityId,PolicyNumber,DriverId,EffectiveDate,ExpirationDate,TransactionDate,OldDriverId,DriverActivityCode,CreatedBy,CreatedDate,ModifiedBy,ModifiedDate
9976,20230125000003324,Q0001093,22NJN00255,7310,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9977,20230125000003324,Q0001093,22NJN00255,7311,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9978,20230125000003324,Q0001093,22NJN00255,7312,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9979,20230125000003324,Q0001093,22NJN00255,7313,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9980,20230125000003324,Q0001093,22NJN00255,7314,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9981,20230125000003324,Q0001093,22NJN00255,7315,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9982,20230125000003324,Q0001093,22NJN00255,7316,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9983,20230125000003324,Q0001093,22NJN00255,7317,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9984,20230125000003324,Q0001093,22NJN00255,7318,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9985,20230125000003324,Q0001093,22NJN00255,7319,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9986,20230125000003324,Q0001093,22NJN00255,7320,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9987,20230125000003324,Q0001093,22NJN00255,7321,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9988,20230125000003324,Q0001093,22NJN00255,7322,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
9989,20230125000003324,Q0001093,22NJN00255,7323,2022-07-25,2023-07-25,2022-07-25,,ADD,Administrator,2023-01-25 12:05:59.753,Administrator,2023-01-25 12:05:59.753
