,SId,PolicyActivityID,PolicyNumber,EffectiveDate,TransactionCode,EndorsementReason,EndorsementRemarks,ProcessDate,ProrateFactor,WrittenPremium,CreatedBy,CreatedDate,ModifiedBy,ModifiedDate
508,20210521000000096,Q0000360,21NJT00154,2021-05-22 00:00:00,NBS,NBS,New Business,2021-05-21 00:00:00.000,1.0,6100.0,RSHUKLA,2021-05-21 13:46:30.070,RSHUKLA,2021-05-21 13:46:30.070
509,20210521000000123,Q0000243,21AZN00138 ,2021-05-04 00:00:00,END,MULTIPLE ENDORSEMENT,Add Drivers,2021-05-04 00:00:00.000,0.928767,0.0,RSHUKLA,2021-05-21 17:22:46.663,RSHUKLA,2021-05-21 17:22:46.663
510,20210521000000131,Q0000243,21AZN00138 ,2021-05-05 00:00:00,END,MULTIPLE ENDORSEMENT,Add Driver,2021-05-05 00:00:00.000,0.926027,0.0,RSHUKLA,2021-05-21 17:32:27.210,RSHUKLA,2021-05-21 17:32:27.210
511,20210524000000167,Q0000196,21NJN00135 ,2021-05-11 00:00:00,END,MULTIPLE ENDORSEMENT,Increase Limits,2021-05-11 00:00:00.000,0.835616,5264.35,RSHUKLA,2021-05-24 12:09:00.137,RSHUKLA,2021-05-24 12:09:00.137
512,20210524000000170,Q0000085,21PAT00067 ,2021-05-10 00:00:00,CAN,Insureds Request Plates Surrendered/Destroyed,,2021-05-10 00:00:00.000,0.315068,-6047.96,RSHUKLA,2021-05-24 15:41:37.013,RSHUKLA,2021-05-24 15:41:37.013
513,20210524000000176,Q0000142,20NJL00106,2021-05-12 00:00:00,END,MULTIPLE ENDORSEMENT,Add Vehicle,2021-05-12 00:00:00.000,0.315068,2363.02,RSHUKLA,2021-05-24 16:22:50.813,RSHUKLA,2021-05-24 16:22:50.813
514,20210524000000183,Q0000183,21PAT00123,2021-04-28 00:00:00,END,MULTIPLE ENDORSEMENT,Add Driver,2021-04-28 00:00:00.000,0.731507,0.0,RSHUKLA,2021-05-24 16:33:06.187,RSHUKLA,2021-05-24 16:33:06.187
515,20210524000000191,Q0000315,20ALT00114,2021-04-28 00:00:00,END,MULTIPLE ENDORSEMENT,Add 2 Drivers,2021-04-28 00:00:00.000,0.512329,0.0,RSHUKLA,2021-05-24 17:06:11.400,RSHUKLA,2021-05-24 17:06:11.400
516,20210524000000196,Q0000243,21AZN00138 ,2021-05-10 00:00:00,END,MULTIPLE ENDORSEMENT,Add Driver,2021-05-10 00:00:00.000,0.912329,0.0,RSHUKLA,2021-05-24 17:26:25.540,RSHUKLA,2021-05-24 17:26:25.540
517,20210524000000206,Q0000243,21AZN00138 ,2021-05-10 00:00:00,END,MULTIPLE ENDORSEMENT,Add Driver,2021-05-10 00:00:00.000,0.912329,0.0,RSHUKLA,2021-05-24 17:37:01.350,RSHUKLA,2021-05-24 17:37:01.350
